,mean,normalized_mean,std,cov_%
Average_RT,0.0155396132109359,0.003884903302733975,0.0330805229648315,851.51
T_nvcsw_total_delta,110887.98,27721.995,7559.205887700973,27.27
T_nvcsw_total_pct_change,0.5998835570449805,0.14997088926124513,0.0843381924125042,56.24
T_vcsw_total_delta,110889.52,27722.38,7559.198343847888,27.27
T_vcsw_total_pct_change,0.599891989471213,0.14997299736780326,0.0843397248536472,56.24
