exp_id,scheduler,cpu,io,mem_load,T_cpu_percent_avg,T_cpu_percent_delta,T_cpu_percent_pct_change,T_iowait_percent_avg,T_iowait_percent_delta,T_iowait_percent_pct_change,T_irq_percent_avg,T_irq_percent_delta,T_irq_percent_pct_change,T_softirq_percent_avg,T_softirq_percent_delta,T_softirq_percent_pct_change,T_run_queue_avg,T_run_queue_delta,T_run_queue_pct_change,T_active_threads_avg,T_active_threads_delta,T_active_threads_pct_change,T_blocked_threads_avg,T_blocked_threads_delta,T_blocked_threads_pct_change,T_io_blocked_threads_avg,T_io_blocked_threads_delta,T_io_blocked_threads_pct_change,T_mem_used_avg,T_mem_used_delta,T_mem_used_pct_change,T_mem_available_avg,T_mem_available_delta,T_mem_available_pct_change,T_swap_used_avg,T_swap_used_delta,T_swap_used_pct_change,T_cache_mem_avg,T_cache_mem_delta,T_cache_mem_pct_change,T_buffers_mem_avg,T_buffers_mem_delta,T_buffers_mem_pct_change,T_swap_in_total_delta,T_swap_in_total_pct_change,T_swap_out_total_delta,T_swap_out_total_pct_change,T_io_read_total_delta,T_io_read_total_pct_change,T_io_write_total_delta,T_io_write_total_pct_change,T_nvcsw_total_delta,T_nvcsw_total_pct_change,T_vcsw_total_delta,T_vcsw_total_pct_change,Average_TAT,Average_RT,Total_Experiment_Duration,CV_Fairness
a48f21b5-eb51-466a-bd37-f0380f3b8f8c,bpfland,1,0,0,18.990000000000002,-18.5,-86.44859813084112,3.575,-3.9,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1389971251.2,-14811136,-1.0615873314113593,6216714444.8,14811136,0.23844708696922282,909078528.0,0,0.0,2157017088.0,68063232,3.2164404880116604,512456294.4,1089536,0.21285789734807867,0,0.0,0,0.0,0,0.0,191234048,0.13207901551852758,45594,0.12460001820055536,45595,0.12460275442184009,0.9310052142861552,0.03572689285647357,5.014456999997492,1.4045847573734689
f145f447-ea9b-4bd7-b02e-ee2eb994ded1,bpfland,1,0,0,18.86,-20.7,-97.64150943396226,3.46,-4.4,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1387231232.0,-3039232,-0.2185766594298743,6219454464.0,3039232,0.048891957997722765,909078528.0,0,0.0,2159079219.2,68775936,3.2484227999001734,513604198.4,864256,0.1684361778558314,0,0.0,0,0.0,0,0.0,193994752,0.13377014200127627,44603,0.12141003314570394,44604,0.1214127584655348,1.2206241951218277,7.4285718645634395e-06,5.01285800000187,2.3072532823433365
614ac753-5db1-4838-85a3-5de58841a600,bpfland,1,0,0,19.3,-20.8,-95.41284403669725,3.025,-3.4,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1457674240.0,-43479040,-2.932085551157504,6149011456.0,43479040,0.7099992508721987,909078528.0,0,0.0,2154880409.6,65830912,3.1132143085437125,514644172.8,966656,0.18802084163227586,0,0.0,0,0.0,0,0.0,187465728,0.1290641063725903,56909,0.1546287899629452,56912,0.1546369539389357,0.9653258518508799,0.04001383999886457,5.013323999999557,1.9304873607585546
5d4cebae-27a6-4170-9b84-01ccf6a978ec,bpfland,1,0,0,19.130000000000003,-20.7,-97.64150943396226,3.17,-4.0,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1461504819.2,-55795712,-3.7378920505995663,6145180876.8,55795712,0.9125922591113513,909078528.0,0,0.0,2156430336.0,65753088,3.1071144462530946,515863961.6,1150976,0.2233757561786052,0,0.0,0,0.0,0,0.0,188334080,0.12945937555011172,52470,0.14200480088271938,52473,0.14201293161262582,0.9309865178576209,9.400000562891364e-06,5.013601999991806,2.1497275988740174
c2a91a80-b866-4569-a437-6268985be2d1,bpfland,1,0,0,19.355,-21.200000000000003,-95.92760180995475,2.895,-3.9,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1455652659.2,-33501184,-2.2689947512677966,6151033036.8,33501184,0.5464933621001273,909078528.0,0,0.0,2156077670.4,65216512,3.0813116378442817,517351014.4,1200128,0.23229632448545967,0,0.0,0,0.0,0,0.0,186343424,0.12789051263246665,46237,0.12465047951087903,46238,0.1246531787746785,0.9654398703709443,0.04167570833305945,5.013837999998941,2.017546686388205
bdf4568d-6f78-490e-9ee0-135807e1b9b7,bpfland,1,0,0,18.580000000000002,-20.6,-97.6303317535545,3.29,-4.4,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1437436723.2,-24395776,-1.6865402422207056,6169248972.8,24395776,0.39602327733863846,909078528.0,0,0.0,2153551462.4,59625472,2.8169150358669506,518653542.4,995328,0.1920978987810084,4096,0.0002629800371853773,0,0.0,8192,8.37046375141899e-05,172703744,0.11834532360723053,41365,0.11110907268633856,41366,0.11111176173572655,0.9310770892859311,0.03572628571471016,5.014796999996179,1.7866907473212676
ae6b341c-b353-436f-b010-0b1d1a02a281,bpfland,1,0,0,18.81,-20.4,-95.32710280373831,3.3049999999999997,-3.0,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1390830387.2,-4972544,-0.3564340156666549,6215855308.8,4972544,0.08005248911147672,909078528.0,0,0.0,2156182323.2,64016384,3.0240585733579453,520018124.8,1155072,0.22239221469523593,0,0.0,0,0.0,0,0.0,181977088,0.12451811432999725,41935,0.11223035175992366,41937,0.112235710353666,0.9654200185193784,0.03031669696969347,5.014240999997128,1.5281250756456688
b81270f5-c22d-4d81-8ba3-e4d9a8d1fd7b,bpfland,1,0,0,19.330000000000002,-19.900000000000002,-93.42723004694837,3.19,-3.4,-100.0,0.0,0.0,0,0.025,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1417111961.6,-28934144,-2.0222724800320635,6189573734.4,28934144,0.468499944620972,908965478.4,-282624,-0.031089063408172368,2156444262.4,66842624,3.159009342103735,521548185.6,1282048,0.24617562625349013,303104,0.019460471574562533,0,0.0,606208,0.0061941379912693,189882368,0.12973173525353915,49966,0.1332583414011712,49969,0.13326635300485767,0.9653843518522249,5.760001949965954e-06,5.014842000004137,1.797584728325735
4ed37d36-c8b5-4b27-93b7-100acb31a15d,bpfland,1,0,0,18.78,-21.7,-97.74774774774775,3.09,-2.5,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1399743488.0,-2469888,-0.17638231964688433,6206942208.0,2469888,0.03979593857038205,908795904.0,0,0.0,2156495257.6,63332352,2.991369486947824,522986496.0,1220608,0.2336998290383801,0,0.0,0,0.0,0,0.0,181403648,0.12374402369040886,38185,0.10144687391796753,38187,0.10145219274965515,0.9653971666662579,8.25925801311516e-06,5.01489199999196,1.843525308535953
5dd10eac-16f1-4069-b79e-646af7d398c1,bpfland,1,0,0,19.29,-21.200000000000003,-95.92760180995475,3.0100000000000002,-3.4,-100.0,0.0,0.0,0,0.0,0.0,0,11.0,0,0.0,10.0,0,0.0,0.0,0,0,0.0,0,0,1397599027.2,-6750208,-0.4815784552085281,6209086668.8,6750208,0.10878656116306565,908795904.0,0,0.0,2157330227.2,65998848,3.1178888218083873,524395315.2,1138688,0.21740830531008057,0,0.0,0,0.0,0,0.0,189243392,0.12889708038083392,50281,0.1331275457522183,50282,0.13313019694807193,0.9656341481483347,0.03031593939434088,5.015446999997948,1.6137828750952117
