metrics,cpu,io,mem_load,T_cpu_percent_avg,T_cpu_percent_delta,T_cpu_percent_pct_change,T_iowait_percent_avg,T_iowait_percent_delta,T_iowait_percent_pct_change,T_irq_percent_avg,T_irq_percent_delta,T_irq_percent_pct_change,T_softirq_percent_avg,T_softirq_percent_delta,T_softirq_percent_pct_change,T_run_queue_avg,T_run_queue_delta,T_run_queue_pct_change,T_active_threads_avg,T_active_threads_delta,T_active_threads_pct_change,T_blocked_threads_avg,T_blocked_threads_delta,T_blocked_threads_pct_change,T_io_blocked_threads_avg,T_io_blocked_threads_delta,T_io_blocked_threads_pct_change,T_mem_used_avg,T_mem_used_delta,T_mem_used_pct_change,T_mem_available_avg,T_mem_available_delta,T_mem_available_pct_change,T_swap_used_avg,T_swap_used_delta,T_swap_used_pct_change,T_cache_mem_avg,T_cache_mem_delta,T_cache_mem_pct_change,T_buffers_mem_avg,T_buffers_mem_delta,T_buffers_mem_pct_change,T_swap_in_total_delta,T_swap_in_total_pct_change,T_swap_out_total_delta,T_swap_out_total_pct_change,T_io_read_total_delta,T_io_read_total_pct_change,T_io_write_total_delta,T_io_write_total_pct_change,T_nvcsw_total_delta,T_nvcsw_total_pct_change,T_vcsw_total_delta,T_vcsw_total_pct_change,Average_TAT,Average_RT,Total_Experiment_Duration,CV_Fairness
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1.0,0.0,0.0,19.139300000000002,-20.761999999999997,-96.19196444517046,3.1229,-3.534,-99.70588235294117,0.0,0.0,0.0,0.002,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426722775.0399997,-26615234.56,-1.8239335757167743,6179962920.959999,26615234.56,0.43300498119278397,908819763.2,-5734.4,-0.0006307955964382401,2157150416.896,64880558.08,3.0641358501770917,541762633.728,912179.2,0.16959177748118376,7782.4,0.0004996403036504584,0.0,0.0,15564.8,0.00015903660577339167,185762611.2,0.12364524280913473,45100.72,0.11366861939015101,45102.46,0.11367302097654262,0.9785778552445372,0.025492279164713173,5.014308740000706,1.838289426447536
std,0.0,0.0,0.0,0.23202966471148123,0.9497346568212337,2.211117103642306,0.17059646262811104,0.8032103950868105,2.079725827019257,0.0,0.0,0.0,0.006851187890446742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27002876.640698418,16686169.30074837,1.1129448244199924,27002876.64069843,16686169.30074837,0.27321575511947677,109083.17083006453,39961.444536820585,0.004395818640895752,1373678.5520732517,1706875.152258185,0.08063031910896662,15841504.314742234,226107.9376010583,0.04574845837616176,44163.75163005081,0.002835451882715685,0.0,0.0,88327.50326010161,0.0009025129826403189,4244045.055640196,0.0037001952595170505,18260.134761601206,0.04433968812515607,18260.161989591506,0.04433991460100297,0.09226854117776725,0.017319191003730607,0.000847772780091719,0.1869193074728342
min,1.0,0.0,0.0,18.580000000000002,-22.3,-100.0,2.875,-6.8,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372743475.2,-57917440.0,-3.8841813782149894,6122151116.8,-4026368.0,-0.06490942395032284,908767232.0,-282624.0,-0.031089063408172368,2153551462.4,59625472.0,2.8169150358669506,512456294.4,503808.0,0.09111178601322972,0.0,0.0,0.0,0.0,0.0,0.0,172703744.0,0.11669854098026297,-76041.0,-0.1786124210057377,-76039.0,-0.17860773160382526,0.9146451578945791,5.230769322504504e-06,5.01285800000187,1.4045847573734689
25%,1.0,0.0,0.0,18.94625,-21.45,-97.67977673935619,2.9899999999999998,-3.9,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405056665.6,-35668992.0,-2.4313295624356694,6158854860.8,15928320.0,0.2571252958793736,908771328.0,0.0,0.0,2156385177.6000004,64039936.0,3.0247480032251786,528791347.2,734208.0,0.1306033615638923,0.0,0.0,0.0,0.0,0.0,0.0,184160256.0,0.12132712251795974,43899.0,0.10945876138244304,43899.75,0.10946064059061054,0.9311189241074577,1.5634615680268086e-05,5.013604499992653,1.7088876573978866
50%,1.0,0.0,0.0,19.1675,-20.8,-95.92760180995475,3.0975,-3.4,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423162265.6,-26324992.0,-1.8359161446514212,6183523430.4,26324992.0,0.4264682852581086,908771328.0,0.0,0.0,2157132902.4,65165312.0,3.0771026091988043,544707788.8,907264.0,0.17144203641308386,0.0,0.0,0.0,0.0,0.0,0.0,186232832.0,0.12352558307380891,46061.5,0.11695011525722825,46063.0,0.11695011525722825,0.9653931759255809,0.033341999999296,5.014245500002289,1.8496755405745238
75%,1.0,0.0,0.0,19.30375,-20.3,-95.43350690139681,3.20125,-3.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447830835.2,-15928320.0,-1.1281355350888187,6201629030.4,35668992.0,0.5809656720478256,908775424.0,0.0,0.0,2158124236.8,65828864.0,3.1126293589062115,554672588.8,1129472.0,0.2123856387912264,0.0,0.0,0.0,0.0,0.0,0.0,188653568.0,0.12530300232443312,50023.75,0.1297926118606092,50026.75,0.12979911673910888,0.9655123287039142,0.03847127884504376,5.014912249996996,1.9408738684667277
max,1.0,0.0,0.0,19.56,-17.6,-86.44859813084112,3.575,-2.5,-85.29411764705883,0.0,0.0,0.0,0.025,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484534579.2,4026368.0,0.28685403127671927,6233942220.8,57917440.0,0.9501838881336547,909078528.0,0.0,0.0,2159489638.4,68775936.0,3.2484227999001734,565413683.2,1282048.0,0.24617562625349013,303104.0,0.019460471574562533,0.0,0.0,606208.0,0.0061941379912693,193994752.0,0.13377014200127627,61519.0,0.1546287899629452,61523.0,0.1546369539389357,1.3434340526310782,0.0500096499985375,5.016474999996717,2.3072532823433365
